REEF_SITE,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,PERCENT_BLEACHED
ATL,APR,06/04/2024,CREST,1,6
ATL,APR,06/04/2024,CREST,2,10
ATL,APR,06/04/2024,CREST,3,9
ATL,APR,19/04/2024,FLAT,1,10
ATL,APR,19/04/2024,FLAT,2,13
ATL,APR,19/04/2024,FLAT,3,14
ATL,AUG,03/08/2024,CREST,1,22
ATL,AUG,03/08/2024,CREST,2,30
ATL,AUG,03/08/2024,CREST,3,30
ATL,JUL,10/07/2024,CREST,1,61
ATL,JUL,10/07/2024,CREST,2,59
ATL,JUL,10/07/2024,CREST,3,54
ATL,JUL,26/07/2024,CREST,1,29
ATL,JUL,26/07/2024,CREST,2,37
ATL,JUL,26/07/2024,CREST,3,31
ATL,JUN,07/06/2024,FLAT,1,50
ATL,JUN,07/06/2024,FLAT,2,41
ATL,JUN,07/06/2024,FLAT,3,41
ATL,JUN,16/06/2024,FLAT,1,44
ATL,JUN,16/06/2024,FLAT,2,37
ATL,JUN,16/06/2024,FLAT,3,39
ATL,JUN,19/06/2024,CREST,1,50
ATL,JUN,19/06/2024,CREST,2,46
ATL,JUN,19/06/2024,CREST,3,56
ATL,MAR,09/03/2024,CREST,1,4
ATL,MAR,09/03/2024,CREST,2,5
ATL,MAR,09/03/2024,CREST,3,5
ATL,MAR,14/03/2024,CREST,1,11
ATL,MAR,14/03/2024,CREST,2,11
ATL,MAR,14/03/2024,CREST,3,12
ATL,MAR,28/03/2024,FLAT,1,8
ATL,MAR,28/03/2024,FLAT,2,12
ATL,MAY,15/05/2024,CREST,1,12
ATL,MAY,15/05/2024,CREST,2,15
ATL,MAY,15/05/2024,CREST,3,13
ATL,OCT,23/10/2024,CREST,1,2
ATL,OCT,23/10/2024,CREST,2,3
ATL,OCT,23/10/2024,CREST,3,4
ATL,SEP,21/09/2024,CREST,1,15
ATL,SEP,21/09/2024,CREST,2,12
ATL,SEP,21/09/2024,CREST,3,9
HS,APR,26/04/2024,CREST,1,22
HS,APR,26/04/2024,CREST,2,21
HS,APR,26/04/2024,CREST,3,14
HS,APR,26/04/2024,FLAT,1,17
HS,APR,26/04/2024,FLAT,2,13
HS,APR,26/04/2024,FLAT,3,10
HS,AUG,02/08/2024,CREST,1,39
HS,AUG,02/08/2024,CREST,2,45
HS,AUG,02/08/2024,CREST,3,32
HS,AUG,22/08/2024,CREST,1,15
HS,AUG,22/08/2024,CREST,2,15
HS,FEB,17/02/2024,CREST,1,3
HS,FEB,17/02/2024,CREST,2,3
HS,FEB,17/02/2024,CREST,3,3
HS,FEB,29/02/2024,CREST,1,22
HS,FEB,29/02/2024,CREST,2,18
HS,FEB,29/02/2024,CREST,3,22
HS,JUL,20/07/2024,CREST,1,44
HS,JUL,20/07/2024,CREST,2,50
HS,JUL,20/07/2024,CREST,3,51
HS,JUN,26/06/2024,CREST,1,51
HS,JUN,26/06/2024,CREST,2,56
HS,JUN,26/06/2024,CREST,3,54
HS,MAR,07/03/2024,CREST,1,6
HS,MAR,07/03/2024,CREST,2,8
HS,MAR,07/03/2024,CREST,3,8
HS,MAR,22/03/2024,CREST,1,6
HS,MAR,22/03/2024,CREST,2,5
HS,MAR,22/03/2024,CREST,3,5
HS,MAR,29/03/2024,FLAT,1,9
HS,MAR,29/03/2024,FLAT,2,7
HS,MAR,29/03/2024,FLAT,3,8
HS,MAY,02/05/2024,CREST,1,32
HS,MAY,02/05/2024,CREST,2,27
HS,MAY,02/05/2024,CREST,3,24
HS,OCT,12/10/2024,CREST,1,5
HS,OCT,12/10/2024,CREST,2,3
HS,OCT,12/10/2024,CREST,3,2
HS,SEP,13/09/2024,CREST,1,10
HS,SEP,13/09/2024,CREST,2,11
HS,SEP,13/09/2024,CREST,3,8
HS,SEP,25/09/2024,CREST,1,5
HS,SEP,25/09/2024,CREST,2,5
HS,SEP,25/09/2024,CREST,3,5
HS,SEP,26/09/2024,CREST,1,7
HS,SEP,26/09/2024,CREST,2,8
HS,SEP,26/09/2024,CREST,3,6
MH4,APR,20/04/2024,CREST,1,28
MH4,APR,20/04/2024,CREST,2,31
MH4,APR,20/04/2024,CREST,3,24
MH4,APR,20/04/2024,FLAT,1,5
MH4,APR,20/04/2024,FLAT,2,7
MH4,APR,20/04/2024,FLAT,3,10
MH4,APR,25/04/2024,CREST,1,31
MH4,APR,25/04/2024,CREST,2,28
MH4,APR,25/04/2024,CREST,3,29
MH4,APR,25/04/2024,FLAT,1,20
MH4,APR,25/04/2024,FLAT,2,17
MH4,APR,25/04/2024,FLAT,3,11
MH4,AUG,31/08/2024,CREST,1,8
MH4,AUG,31/08/2024,CREST,2,7
MH4,AUG,31/08/2024,CREST,3,10
MH4,JUL,03/07/2024,CREST,1,55
MH4,JUL,03/07/2024,CREST,2,58
MH4,JUL,03/07/2024,CREST,3,55
MH4,JUL,19/07/2024,CREST,1,29
MH4,JUL,19/07/2024,CREST,2,29
MH4,JUL,19/07/2024,CREST,3,33
MH4,JUN,28/06/2024,CREST,1,54
MH4,JUN,28/06/2024,CREST,2,53
MH4,JUN,28/06/2024,CREST,3,61
MH4,MAR,02/03/2024,CREST,1,15
MH4,MAR,02/03/2024,CREST,2,14
MH4,MAR,02/03/2024,CREST,3,9
MH4,MAR,13/03/2024,CREST,1,2
MH4,MAR,13/03/2024,CREST,2,4
MH4,MAR,13/03/2024,CREST,3,5
MH4,MAR,20/03/2024,CREST,1,8
MH4,MAR,20/03/2024,CREST,2,4
MH4,MAR,24/03/2024,CREST,1,10
MH4,MAR,24/03/2024,CREST,2,10
MH4,MAR,24/03/2024,CREST,3,7
MH4,MAR,27/03/2024,FLAT,1,9
MH4,MAR,27/03/2024,FLAT,2,5
MH4,MAR,27/03/2024,FLAT,3,8
MH4,MAY,04/05/2024,CREST,1,27
MH4,MAY,04/05/2024,CREST,2,19
MH4,MAY,04/05/2024,CREST,3,32
MH4,MAY,10/05/2024,CREST,1,22
MH4,MAY,10/05/2024,CREST,2,17
MH4,MAY,10/05/2024,CREST,3,24
MH4,OCT,09/10/2024,CREST,1,3
MH4,OCT,09/10/2024,CREST,2,1
MH4,OCT,09/10/2024,CREST,3,3
MH4,OCT,31/10/2024,CREST,1,6
MH4,OCT,31/10/2024,CREST,2,8
MH4,OCT,31/10/2024,CREST,3,8
MH4,SEP,11/09/2024,CREST,1,15
MH4,SEP,11/09/2024,CREST,2,57
MH4,SEP,20/09/2024,CREST,1,42
MH4,SEP,20/09/2024,CREST,2,31
MH4,SEP,20/09/2024,CREST,3,42
